Species / Cultivar ,Horticultural attribute,Botanical taxonomy,Ref. Genome,Genome evaluation,Population Genome Sequences,Database
Camellia sinensis cv. assamica,Beverages,Angiosperms / Eudicots / Asterids / Ericales / Theaceae ,1,Bronze,N.A.,"<a href=""http://horticulture.eplant.org/project/status/beverages/Camellia%20sinensis%20var.%20assamica"">link</a>"
Camellia sinensis cv. sinensis,Beverages,Angiosperms / Eudicots / Asterids / Ericales / Theaceae ,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/beverages/Camellia%20sinensis%20var.%20sinensis  http://tpia.teaplant.org/
Coffea arabica,Beverages,Angiosperms / Eudicots / Asterids / Gentianales / Rubiaceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/beverages/Coffea%20arabica
,,,,,,
,,,,,,
…,…,…,…,…,…,…
Actinidia chinensis cv. Hongyang,Fruits,Angiosperms / Eudicots / Asterids / Ericales / Actinidiaceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/fruits/Actinidia%20chinensis
Vitis vinifera 'Pinot noir 40024',Fruits,Angiosperms / Eudicots / Rosids / Vitales / Vitaceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/fruits/Vitis%20vinifera
"Vitis vinifera ‘Pinot noir, clone ENTAV 115’ ",Fruits,Angiosperms / Eudicots / Rosids / Vitales / Vitaceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/fruits/Vitis%20vinifera
…,…,…,…,…,…,…
Rosa chinensis,Ornamentals, Angiosperms / Eudicots / Rosids / Rosales / Rosaceae,1,Gold,N.A.,http://horticulture.eplant.org/project/status/ornamentals/Rosa%20chinensis
Rosa multiflora,Ornamentals, Angiosperms / Eudicots / Rosids / Rosales / Rosaceae,1,Plastic,N.A.,http://horticulture.eplant.org/project/status/ornamentals/Rosa%20multiflora
Rosa X damascena,Ornamentals, Angiosperms / Eudicots / Rosids / Rosales / Rosaceae,1,Plastic,N.A.,http://horticulture.eplant.org/project/status/ornamentals/Rosa%20X%20damascena
…,…,…,…,…,…,…
Asparagus officinalis,Vegetables,Angiosperms / Monocots / Asparagales / Asparagaceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/vegetables/Asparagus%20officinalis
Cucumis sativus,Vegetables,Angiosperms / Eudicots / Rosids / Cucurbitales / Cucurbitaceae,1,Bronze,"1,234",http://horticulture.eplant.org/project/status/vegetables/Cucumis%20sativus http://cucurbitgenomics.org/
Lactuca sativa,Vegetables,Angiosperms / Eudicots / Asterids / Asterales / Asteraceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/vegetables/Lactuca%20sativa
…,…,…,…,…,…,…
Panax ginseng,Herbal medicinals,Angiosperms / Eudicots / Asterids / Apiales / Araliaceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/medicinals/Panax%20ginseng
Panax notoginseng,Herbal medicinals,Angiosperms / Eudicots / Asterids / Apiales / Araliaceae,1,Bronze,N.A.,http://horticulture.eplant.org/project/status/medicinals/Panax%20notoginseng
Papaver somniferum,Herbal medicinals,Angiosperms / Eudicots / Ranunculales / Papaveraceae,1,Silver,N.A.,http://horticulture.eplant.org/project/status/medicinals/Papaver%20somniferum
…,…,…,…,…,…,…
